,firm,pros: career opportunities,pros: compensation and benefits,pros: senior management,pros: work life balance,pros: culture and values,pros: diversity and inclusion,cons: career opportunities,cons: compensation and benefits,cons: senior management,cons: work life balance,cons: culture and values,cons: diversity and inclusion,index,opportunities,compensation,management,worklife_balance,culture,diversity,kmeans_labels
0,AMR,"AMR has multiple locations throughout the globe, providing ample opportunities for career advancement.",Good pay with ability to make a lot more with bonuses.,,Only work 3 days a week. Every other 3 day weekend off.,"Great company culture, fast moving industry, opportunity for growth and being able to make a positive impact in the community.",,"You will get called in a lot. Mandatory overtime is a given and the work is tiring. DOn't expect too much free time with this job, if you are full time the on call and mandatory overtime is even greater.",Have to work a lot of O/T because always shorthanded. Wages are really low.,Management has no idea what they’re doing or how to run the place,"On Call hours can be very high, high stress environment, few holidays off, difficult to balance home/work life, short-staffed often and being held and/ or mandated is normal","Very bad upper management, Lack of culture Shift supervisors tend to assume you are in the wrong before providing assistance, Toxic work environment. Employees are so lazy that they would have gotten fired from McDonald's on their first day let alone working as an emt for 2 years.","-Two Separate Division with Different Contracts, one obviously better than the other.",877,3.02,2.82,2.61,2.64,2.69,3.3,3
1,International-Flavors-&-Fragrances,The company offers always new opportunities and the team is very international.,"Good health care benefits and pay; Really good salary compared to similar jobs, great benefit package, and large company benefits.",Agile & flexible team; management that cares for the employees (in particular operations shopfloor staffs); Company culture is respectful and inclusive. The company is well-established and allows employees to have a good life-work balance.,"Work-life balance as the manufacturing sides are small in scale., Low competitive environment, Good work life balance generally.",Financially Solid Company with good values,Most people are good to deal with; The company offers always new opportunities and the team is very international.,"Flat structure, limited hierarchy and presumably career growth as well.","Pay is not great, especially when you’re short staffed. I feel like they don’t value the work you put in when working overtime.",Micromanagement runs rampant. Procurement etc. 20 years out of date. Very little work life balance for the average worker.,"No work life balance at all; High pressure and high work load, minimum manpower",Too much bereaucracy i guess.,"the wages are a bit lower compared to other multinational companies, unexpected extra hours; Market rate salaries, lots of women leaders left after DuPont N&H and IFF merger, very white and male Sr leadership.",1970,3.28,3.41,3.0,3.35,3.49,3.75,4
2,Interserve,Opportunity to grow and development,"Good salary, excellent pay, Good hours, paid on time and always correct!",Some senior managers willing to help and advise,Good work life balance - plenty of opportunities for progression,"good and friendly culture and friends, Good people and great culture, Generally a good company to work for",,None. Shocking health and safety. No wellbeing for staff,"Low salaries not clear career path, Minimum hourly based salary to improve",Senior management. Shareholders. Opaque (no or very poor communication). Poor standards at all levels. Poor management culture.,"Work can be boring, Work life balance could be a struggle at times, Long hours depending on the contract, Long hours and long shifts","very flat culture, no promotions",,2964,2.59,2.78,2.58,2.88,2.77,3.24,3
3,Iowa-State-University,"Generally, career opportunities are available for students in this research organization.","Good medical insurance benefits, Great benefits, Free insurance, Great pay/Good compensation",,"Flexible schedule of 15-20 hours/week, Good work-life balance, With a flexible remote work schedule","Great culture, Great faculty, Coworkers are great, students are great, work is fun, campus is gorgeous.","The organization prioritizes diversity and inclusion, with a stable and supportive community for its employees.",Everyone is working on their own. Little if any cross-talk or cooperation on projects or tasks.,Pay is not competitive with industry positions. Lack of appreciation for loyalty and length of service.,- Upper Management is not as friendly.,Food service work is hard,"- Few nice faculties, if lucky to work with them.",- Staff can be treated like second class citizens.,1268,3.98,3.8,3.89,4.14,4.18,4.16,5
4,J-Crew,"While some reviewers found limited growth opportunities, others appreciated the company's efforts to increase diversity and inclusion.","Reviewers praised the company's excellent benefits package, including PTO, 401k matching, store discounts, and a good salary.",,"Several reviewers appreciated flexible scheduling and supportive environments, leading to a healthy work-life balance.","Reviewers praised the company's culture, diversity, and inclusion initiatives, describing them as 'fun', 'supportive', and 'exciting'.","The company was commended for its efforts to increase diversity and inclusion, creating a welcoming environment for employees of various backgrounds.",Some reviewers felt that career growth opportunities were limited within the company.,"A few reviewers mentioned lower-than-expected salaries or compensation, although many praised the company's overall benefits package.","Management (sometimes) condescending, issues with taking some days off, Upper management sometimes not the best to work with., Lost direction after new management","Some reviewers experienced difficult scheduling or working on holidays/weekends, affecting their work-life balance.",A few reviewers mentioned bad culture and opportunities for career development.,A reviewer noted a lack of diversity among leadership.,967,3.33,3.36,3.41,3.65,3.67,3.83,1
5,J-R-Simplot-Company,one positive sentence describing career opportunities,Total Compensation package and Benefits,CEO is good but seems disconnected to how his next level management is operating.,"Schedule is convenient, 36 hours one week and 48 hours the following week, Privately held agricultural company that is focused on sustainability, people, and feeding the world.",,,Opportunities for advancement are rare,"Salary unattached to hourly personnel, pay is very minimal compared to other similar positions",Upper management does not give maintenance enough time to work on equipment. They will eventually run this facility into the ground.,"Very poor work/life balance, Lots of overtime, when short staffed. Even lots of overtime for those who just want to volunteer. Long hours and graveyard unless your plant doesn’t have seniority.","Very much male dominated at all levels, 2nd and 3rd generation family run resulting in a lack of transparency in company initiatives, very poor communication, old technology stack and stagnant expertise, projects seem to be date driven without respect to the actual capacity to get it done. Meetings, very long meetings are the norm, little to no opportunity for valuable mentors because internal skills are lacking.  Too heavily reliant on consultants who are just trying to sell their next gig.","Needed more cash to buy food, Pay needs to match industry on some levels",2647,2.96,3.39,2.68,3.01,3.0,3.08,3
6,J.B.-Hunt-Transport,got an opportunity to learn many new technologies,"Great pay and benefits and local routes., Pay was good and same with the time off.",,"Good work life balance, Work schedules are very flexible allowing you to make a proper work/life balance.","Amazing people to work with, Great culture and family oriented",,Not really anything I have seen,"Low pay for the overload of work, bad routing, little time off",Poor Management No training program Nobody does their job,"The work life balance could be better, Work life balance is abysmal., Bad place for home time balance, Hard on body, long hours 12-14 hours","Poor leadership from upper management. Toxic culture, Low pay, Inexperienced teams, Leadership from Manager all the way to cio does not have security expertise.","Toxic culture, J.B. Hunt has spent the last year saying they are a people company who values employee input but do not listen to input given by employees.",522,3.75,3.43,3.47,3.29,3.66,3.83,1
7,J.P.-Morgan,one positive sentence describing career opportunities,Good pay and benefits and cutting edge technologies,,"Good work life balance, relatively interesting work (though, this is team dependent)",Good place to share ideas and shine. Lot of like minded folks. Best work culture among all US banks,,"This company offers plenty of potential to move laterally or vertically within the firm, But competitive wages with growth potential",,"Can be tiresome trying to overcome the burden of thick mid-level management, Bureaucratic, old school with outdated systems","Hectic work life balance. Lot of paperwork in setting up new infra or new setup, Long working hours.",,"This is a terrible place for a family man/woman. You are expected to come in 3 days a week on top of getting certified for new technologies (on your own time, you will not be given time to do so)",31,3.99,3.9,3.67,3.54,4.02,4.16,2
8,JE-Dunn-Construction,Many opportunities and good pay.,Competitive salary and benefits. Great culture and environment.,Knowledgeable senior superintendents with strong relationships with project teams and supportive upper management.,"Good work life balance most of the time, family-oriented, philanthropic, flexible, and always looking for ways to improve employees' lives.","Strong Company Culture with great leadership, Amazing culture. Good teams. Great people.",,Minimal growth path for certain careers,"The salary left something to be desired but they hold onto the ESOP to keep people there, Pay could be better for everyone., Low pay Lots of hours, Salary Below Average -Benefits Below Average",Leadership running the office is inexperienced and get frustrated if you call them to the table for their shortcomings and lack of communication and transparency.,"Little to no work life balance. Construction is not for the weak hearted. Wearing multiple hats, way too much multitasking., Sometimes travel is required and the company is beginning to feel more corporate, - Spread thin among lots of work and projects at one time - 10-hour days minimum.",Advances by age not competency,"Toxic work enviroment, poor treatment of females., As in the construction industries as a whole, there are some well established gender biases to overcome. For some these are more engrained than others.",3100,3.95,3.78,3.58,3.58,4.03,3.89,2
9,Jaipur-Rugs,Great career opportunities for those looking to grow and learn in a supportive environment.,"Good compensation, bonus, and fair treatment regarding future career opportunities.","The senior management are always approachable and we do not need long appointments to have a word with them; while also being helpful, suggestive & informative when and as needed.",Work Culture is very friendly and senior management is very cooperative. While working at Jaipur Rugs I never had to run as per the clock; work life balance was 100% & had complete flexibility & liberty to work as per needs unless & until the TAT time is achieved.,"A positive and inclusive culture with an emphasis on teamwork, respect, and fair treatment.",Diversity is widely followed at Jaipur Rugs & there is no identity-based differences among and between people which keeps the employees and customers both happy in the organisation. Practising this diversity by the Management enables unique thinking and improved decision making.,None to point as of now.,,Old mindset in terms of how employees are treated.,leave system is not soo good.,"Less number of paid leaves need more cultural diversification,",Lack of time management it has to improve,3226,4.28,4.25,4.4,3.94,4.39,4.37,5
