,0
0,2
1,3
2,4
3,4
4,5
5,3
6,4
7,4
8,3
9,4
10,3
11,3
12,2
13,3
14,2
15,2
16,2
17,4
18,2
19,4
20,3
21,3
22,4
23,5
24,3
25,1
26,3
27,3
28,4
29,4
30,1
31,2
32,5
33,1
34,3
35,3
36,1
37,3
38,5
39,4
40,2
41,4
42,1
43,3
44,4
45,3
46,4
47,3
48,4
49,3
50,4
51,4
52,3
53,1
54,3
55,3
56,2
57,1
58,3
59,4
60,4
61,1
62,1
63,4
64,3
65,3
66,2
67,3
68,3
69,2
70,1
71,5
72,4
73,3
74,3
75,3
76,1
77,1
78,2
79,3
80,5
81,1
82,3
83,5
84,2
85,4
86,3
87,1
88,4
89,4
90,5
91,3
92,4
93,4
94,2
95,2
96,4
97,4
98,2
99,1
100,4
101,4
102,3
103,4
104,2
105,4
106,2
107,1
108,5
109,5
110,3
111,1
112,3
113,1
114,4
115,3
116,4
117,5
118,3
119,4
120,2
121,5
122,4
123,3
124,3
125,3
126,4
127,3
128,5
129,4
130,3
131,4
132,3
133,3
134,3
135,5
136,2
137,3
138,2
139,1
140,4
141,5
142,2
143,1
144,4
145,3
146,3
147,3
148,5
149,3
150,1
151,2
152,3
153,1
154,3
155,4
156,4
157,4
158,2
159,4
160,3
161,3
162,4
163,1
164,3
165,3
166,3
167,3
168,4
169,1
170,4
171,2
172,3
173,2
174,3
175,5
176,4
177,4
178,4
179,1
180,3
181,3
182,3
183,3
184,4
185,5
186,3
187,3
188,3
189,5
190,5
191,4
192,1
193,3
194,3
195,5
196,3
197,4
198,1
199,4
200,2
201,5
202,3
203,4
204,4
205,3
206,2
207,2
208,4
209,2
210,3
211,5
212,2
213,2
214,1
215,3
216,2
217,4
218,4
219,4
220,2
221,1
222,1
223,4
224,4
225,1
226,4
227,3
228,4
229,3
230,3
231,1
232,1
233,4
234,3
235,5
236,3
237,1
238,3
239,1
240,4
241,5
242,4
243,2
244,3
245,3
246,4
247,3
248,1
249,3
250,5
251,3
252,3
253,4
254,4
255,4
256,2
257,3
258,3
259,2
260,2
261,5
262,5
263,4
264,1
265,3
266,3
267,2
268,3
269,2
270,5
271,4
272,3
273,2
274,4
275,5
276,3
277,4
278,2
279,4
280,5
281,1
282,2
283,4
284,3
285,5
286,3
287,2
288,3
289,4
290,1
291,5
292,5
293,2
294,4
295,3
296,5
297,2
298,3
299,2
300,4
301,2
302,4
303,5
304,3
305,1
306,3
307,5
308,3
309,2
310,4
311,2
312,4
313,5
314,5
315,5
316,3
317,2
318,3
319,5
320,3
321,5
322,3
323,3
324,4
325,4
326,4
327,3
328,4
329,3
330,3
331,5
332,3
333,3
334,4
335,3
336,1
337,2
338,4
339,4
340,3
341,3
342,1
343,1
344,4
345,4
346,1
347,4
348,3
349,5
350,5
351,3
352,4
353,5
354,2
355,3
356,4
357,3
358,3
359,3
360,4
361,2
362,3
363,2
364,4
365,4
366,4
367,3
368,4
369,3
370,4
371,3
372,3
373,4
374,2
375,3
376,3
377,4
378,3
379,4
380,1
381,4
382,1
383,3
384,1
385,1
386,5
387,1
388,2
389,1
390,2
391,3
392,3
393,4
394,4
395,2
396,3
397,2
398,5
399,3
400,5
401,1
402,4
403,4
404,4
405,4
406,3
407,3
408,2
409,3
410,4
411,3
412,4
413,3
414,1
415,3
416,1
417,2
418,1
419,3
420,2
421,4
422,4
423,5
424,3
425,3
426,4
427,3
428,2
429,2
430,3
431,3
432,3
433,2
434,2
435,2
436,3
437,4
438,1
439,4
440,5
441,5
442,4
443,3
444,2
445,3
446,5
447,3
448,3
449,3
450,2
451,4
452,3
453,3
454,2
455,3
456,3
457,4
458,4
459,5
460,3
461,5
462,4
463,3
464,4
465,3
466,5
467,3
468,2
469,2
470,2
471,1
472,4
473,2
474,4
475,3
476,3
477,5
478,4
479,1
480,3
481,2
482,3
483,1
484,2
485,4
486,3
487,4
488,4
489,3
490,5
491,3
492,3
493,3
494,5
495,3
496,3
497,4
498,4
499,4
500,3
501,4
502,3
503,2
504,3
505,4
506,4
507,2
508,4
509,2
510,4
511,3
512,4
513,3
514,2
515,5
516,3
517,1
518,4
519,4
520,3
521,3
522,4
523,3
524,3
525,4
526,3
527,4
528,2
529,3
530,5
531,5
532,3
533,2
534,2
535,2
536,3
537,4
538,2
539,2
540,3
541,3
542,4
543,5
544,3
545,4
546,4
547,4
548,4
549,3
550,4
551,4
552,3
553,3
554,3
555,3
556,4
557,4
558,4
559,3
560,5
561,2
562,3
563,2
564,3
565,4
566,3
567,3
568,4
569,3
570,3
571,3
572,4
573,4
574,4
575,3
576,2
577,1
578,3
579,4
580,1
581,3
582,5
583,3
