,0
0,4
1,4
2,4
3,4
4,3
5,1
6,2
7,4
8,3
9,5
10,2
11,3
12,2
13,3
14,4
15,2
16,5
17,4
18,5
19,4
20,5
21,4
22,3
23,5
24,2
25,1
26,2
27,4
28,4
29,3
30,2
31,2
32,5
33,1
34,4
35,2
36,4
37,4
38,5
39,3
40,1
41,2
42,2
43,4
44,4
45,5
46,5
47,3
48,4
49,3
50,4
51,4
52,4
53,1
54,4
55,4
56,3
57,4
58,5
59,3
60,4
61,4
62,1
63,3
64,4
65,2
66,2
67,4
68,3
69,2
70,4
71,4
72,1
73,4
74,5
75,2
76,2
77,2
78,3
79,2
80,4
81,2
82,2
83,5
84,1
85,3
86,2
87,2
88,3
89,4
90,2
91,5
92,5
93,4
94,2
95,4
96,5
97,4
98,2
99,4
100,4
101,1
102,3
103,4
104,4
105,4
106,3
107,2
108,5
109,4
110,4
111,4
112,4
113,3
114,3
115,2
116,4
117,4
118,5
119,3
120,4
121,1
122,3
123,4
124,4
125,5
126,5
127,4
128,4
129,4
130,2
131,2
132,5
133,3
134,4
135,4
136,2
137,4
138,2
139,4
140,3
141,5
142,1
143,2
144,5
145,4
146,3
147,4
148,4
149,2
150,3
151,5
152,5
153,4
154,4
155,4
156,3
157,5
158,3
159,3
160,2
161,3
162,5
163,1
164,3
165,2
166,3
167,3
168,4
169,4
170,4
171,2
172,5
173,2
174,4
175,4
176,4
177,5
178,4
179,2
180,2
181,2
182,4
183,5
184,4
185,4
186,4
187,4
188,4
189,4
190,4
191,4
192,2
193,4
194,5
195,4
196,4
197,4
198,5
199,4
200,2
201,5
202,3
203,3
204,2
205,2
206,2
207,3
208,4
209,4
210,5
211,2
212,2
213,2
214,2
215,4
216,2
217,4
218,4
219,3
220,4
221,2
222,2
223,4
224,5
225,1
226,1
227,4
228,4
229,4
230,4
231,1
232,4
233,4
234,4
235,5
236,4
237,1
238,5
239,1
240,1
241,4
242,3
243,2
244,4
245,4
246,5
247,5
248,2
249,3
250,5
251,3
252,3
253,2
254,5
255,3
256,2
257,3
258,2
259,3
260,3
261,4
262,5
263,2
264,2
265,4
266,4
267,4
268,5
269,2
270,5
271,4
272,2
273,4
274,2
275,3
276,4
277,4
278,2
279,4
280,5
281,1
282,2
283,3
284,4
285,4
286,4
287,4
288,2
289,4
290,1
291,5
292,4
293,4
294,5
295,2
296,2
297,5
298,2
299,5
300,4
301,4
302,4
303,5
304,3
305,4
306,4
307,5
308,4
309,2
310,5
311,4
312,5
313,4
314,5
315,5
316,2
317,2
318,4
319,4
320,4
321,5
322,4
323,5
324,2
325,2
326,5
327,3
328,3
329,4
330,2
331,5
332,2
333,4
334,4
335,3
336,1
337,4
338,1
339,3
340,4
341,3
342,1
343,1
344,2
345,4
346,4
347,5
348,4
349,5
350,4
351,4
352,5
353,4
354,4
355,2
356,4
357,4
358,4
359,3
360,4
361,5
362,3
363,2
364,3
365,4
366,4
367,3
368,4
369,1
370,5
371,4
372,4
373,4
374,2
375,4
376,4
377,4
378,4
379,5
380,2
381,2
382,5
383,3
384,5
385,1
386,5
387,1
388,1
389,2
390,5
391,4
392,3
393,2
394,3
395,4
396,2
397,3
398,2
399,4
400,5
401,5
402,2
403,2
404,4
405,4
406,3
407,4
408,4
409,4
410,4
411,4
412,4
413,4
414,2
415,3
416,2
417,3
418,2
419,3
420,4
421,4
422,4
423,3
424,4
425,3
426,4
427,4
428,4
429,2
430,5
431,2
432,4
433,5
434,4
435,1
436,4
437,4
438,1
439,4
440,4
441,4
442,3
443,4
444,4
445,2
446,5
447,3
448,4
449,4
450,2
451,3
452,2
453,4
454,4
455,4
456,4
457,4
458,4
459,5
460,4
461,3
462,4
463,2
464,2
465,2
466,4
467,4
468,2
469,4
470,2
471,5
472,4
473,5
474,4
475,4
476,3
477,4
478,4
479,4
480,2
481,4
482,2
483,2
484,4
485,4
486,4
487,5
488,5
489,4
490,1
491,4
492,4
493,2
494,5
495,4
496,5
497,4
498,2
499,3
500,2
501,1
502,3
503,4
504,4
505,4
506,1
507,1
508,5
509,4
510,2
511,3
512,3
513,3
514,3
515,1
516,3
517,4
518,2
519,4
520,4
521,4
522,4
523,2
524,4
525,4
526,4
527,2
528,2
529,2
530,4
531,4
532,4
533,2
534,4
535,4
536,2
537,2
538,4
539,4
540,4
541,4
542,4
543,5
544,2
545,5
546,4
547,5
548,5
549,4
550,5
551,4
552,4
553,4
554,4
555,5
556,2
557,4
558,4
559,3
560,5
561,2
562,5
563,2
564,3
565,3
566,2
567,5
568,2
569,4
570,5
571,5
572,5
573,4
574,1
575,3
576,4
577,2
578,5
579,4
580,1
581,3
582,5
583,2
584,5
585,2
586,1
587,4
588,4
589,2
590,3
591,2
592,3
593,3
594,4
595,2
596,4
597,3
598,2
599,4
600,3
601,3
602,2
603,2
604,2
605,2
606,5
607,4
608,4
609,4
610,5
611,2
612,4
613,1
614,4
615,2
616,3
617,5
618,4
619,2
620,4
621,5
622,3
623,4
624,5
625,4
626,4
627,5
628,5
629,2
630,2
631,3
632,2
633,2
634,1
635,4
636,5
637,2
638,4
639,4
640,3
641,3
642,4
643,3
644,5
645,3
646,4
647,3
648,4
649,5
650,5
651,5
652,4
653,4
654,4
655,2
656,3
657,2
658,1
659,1
660,5
661,2
662,5
663,3
664,4
665,3
666,3
667,4
668,4
669,4
670,5
671,2
672,2
673,1
674,4
675,5
676,3
677,4
678,4
679,3
680,3
681,3
682,4
683,5
684,3
685,2
686,4
687,2
688,2
689,5
690,2
691,1
692,4
693,4
694,4
695,4
696,2
697,5
698,1
699,2
700,1
701,2
702,1
703,1
704,4
705,3
706,1
707,3
708,3
709,4
710,2
711,4
712,4
713,2
714,4
715,3
716,3
717,3
718,4
719,4
720,5
721,3
722,2
723,4
724,4
725,4
726,2
727,2
728,4
729,2
730,4
731,1
732,2
733,3
734,5
735,3
736,2
737,3
738,5
739,4
740,2
741,2
742,4
743,2
744,3
745,3
746,4
747,2
748,4
749,4
750,3
751,4
752,2
753,2
754,4
755,4
756,5
757,4
758,5
759,2
760,4
761,3
762,4
763,4
764,4
765,3
766,3
767,5
768,2
769,4
770,5
771,5
772,3
773,4
774,2
775,2
776,4
777,3
778,4
779,2
780,5
781,2
782,5
783,5
784,2
785,4
786,2
787,5
788,1
789,4
790,5
791,4
792,5
793,2
794,2
795,2
796,5
797,3
798,4
799,3
800,4
801,5
802,2
803,4
804,2
805,4
806,4
807,4
808,5
809,5
810,2
811,2
812,3
813,5
814,2
815,4
816,3
817,4
818,5
819,4
820,2
821,2
822,4
823,5
824,4
825,4
826,4
827,2
828,4
829,4
830,3
831,4
832,3
833,2
834,2
835,3
836,4
837,4
838,3
839,2
840,3
841,3
842,2
843,3
844,4
845,1
846,4
847,4
848,4
849,4
850,2
851,4
852,5
853,4
854,1
855,2
856,3
857,4
858,4
859,5
860,3
861,4
862,2
863,5
864,1
865,2
866,5
867,4
868,4
869,5
870,5
871,2
872,4
873,4
874,5
875,5
876,5
877,5
878,3
879,4
880,1
881,4
882,3
883,3
884,2
885,4
886,4
887,3
888,4
889,3
890,5
891,4
892,5
893,4
894,5
895,4
896,4
897,3
898,4
899,2
900,3
901,4
902,5
903,2
904,3
905,4
906,5
907,4
908,5
909,2
910,4
911,5
912,2
913,2
914,4
915,2
916,2
917,5
918,4
919,4
920,2
921,2
922,2
923,2
924,3
925,4
926,5
927,2
928,5
929,1
930,5
931,4
932,5
933,3
934,3
935,4
936,5
937,2
938,1
939,2
940,5
941,2
942,4
943,3
944,4
945,2
946,2
947,3
948,2
949,5
950,4
951,2
952,3
953,3
954,4
955,1
956,4
957,3
958,5
959,2
960,3
961,4
962,4
963,4
964,3
965,4
966,5
967,2
968,1
969,4
970,2
971,4
972,3
973,3
974,2
975,4
976,2
977,4
978,4
979,3
980,5
981,2
982,4
983,5
984,2
985,4
986,4
987,4
988,2
989,5
990,5
991,3
992,3
993,2
994,3
995,4
996,5
997,4
998,3
999,5
