,0
0,2
1,4
2,2
3,4
4,3
5,1
6,1
7,2
8,3
9,5
10,2
11,4
12,3
13,1
14,4
15,1
16,3
17,2
18,3
19,2
20,5
21,3
22,4
23,5
24,2
25,1
26,2
27,3
28,3
29,3
30,1
31,2
32,5
33,1
34,3
35,3
36,1
37,4
38,3
39,2
40,1
41,2
42,4
43,1
44,2
45,3
46,4
47,3
48,2
49,2
50,3
51,5
52,3
53,1
54,5
55,3
56,3
57,1
58,4
59,3
60,2
61,4
62,2
63,2
64,3
65,1
66,3
67,5
68,3
69,2
70,2
71,1
72,3
73,3
74,4
75,1
76,3
77,2
78,3
79,2
80,1
81,1
82,3
83,5
84,1
85,3
86,2
87,1
88,3
89,4
90,2
91,4
92,5
93,3
94,3
95,2
96,1
97,2
98,5
99,1
100,2
101,1
102,2
103,5
104,2
105,3
106,3
107,2
108,3
109,4
110,4
111,1
112,4
113,4
114,4
115,2
116,2
117,5
118,4
119,4
120,4
121,1
122,3
123,2
124,1
125,4
126,3
127,3
128,4
129,2
130,2
131,2
132,5
133,3
134,3
135,4
136,2
137,4
138,2
139,1
140,4
141,3
142,3
143,1
144,4
145,2
146,4
147,3
148,4
149,1
150,3
151,4
152,3
153,2
154,3
155,4
156,3
157,4
158,2
159,3
160,2
161,4
162,3
163,2
164,1
165,3
166,4
167,2
168,2
169,4
170,4
171,3
172,3
173,2
174,3
175,3
176,4
177,5
178,2
179,2
180,4
181,2
182,2
183,3
184,4
185,4
186,3
187,2
188,4
189,4
190,5
191,2
192,2
193,3
194,4
195,4
196,2
197,2
198,3
199,4
200,3
201,1
202,3
203,2
204,2
205,1
206,2
207,2
208,3
209,2
210,2
211,2
212,3
213,3
214,1
215,3
216,2
217,4
218,2
219,4
220,1
221,2
222,1
223,5
224,2
225,1
226,1
227,2
228,3
229,4
230,3
231,4
232,2
233,4
234,3
235,1
236,5
237,1
238,5
239,1
240,3
241,3
242,4
243,2
244,4
245,4
246,5
247,5
248,2
249,3
250,5
251,4
252,2
253,1
254,4
255,3
256,1
257,4
258,2
259,4
260,2
261,2
262,2
263,2
264,1
265,2
266,2
267,4
268,5
269,4
270,5
271,1
272,2
273,2
274,1
275,5
276,2
277,2
278,2
279,3
280,3
281,1
282,2
283,2
284,3
285,2
286,4
287,1
288,3
289,1
290,1
291,5
292,5
293,1
294,5
295,3
296,2
297,2
298,2
299,4
300,3
301,2
302,4
303,5
304,3
305,2
306,4
307,5
308,5
309,2
310,4
311,1
312,4
313,4
314,4
315,4
316,2
317,3
318,2
319,4
320,3
321,2
322,5
323,5
324,3
325,2
326,4
327,2
328,2
329,4
330,2
331,4
332,2
333,3
334,2
335,3
336,1
337,2
338,1
339,4
340,2
341,3
342,1
343,1
344,2
345,3
346,3
347,4
348,4
349,4
350,2
351,4
352,5
353,5
354,4
355,2
356,4
357,2
358,2
359,3
360,2
361,3
362,3
363,1
364,3
365,3
366,2
367,1
368,2
369,3
370,4
371,2
372,4
373,3
374,2
375,2
376,3
377,3
378,1
379,4
380,2
381,1
382,1
383,3
384,3
385,3
386,5
387,2
388,2
389,3
390,3
391,4
392,4
393,1
394,3
395,2
396,2
397,3
398,2
399,2
400,2
401,2
402,3
403,1
404,5
405,4
406,2
407,5
408,2
409,3
410,3
411,3
412,3
413,3
414,3
415,4
416,1
417,4
418,1
419,4
420,2
421,5
422,3
423,3
424,1
425,4
426,4
427,2
428,3
429,2
430,4
431,2
432,2
433,2
434,4
435,2
436,3
437,4
438,1
439,2
440,3
441,5
442,2
443,5
444,3
445,1
446,4
447,3
448,3
449,3
450,3
451,4
452,2
453,2
454,2
455,2
456,4
457,1
458,3
459,2
460,1
461,3
462,4
463,5
464,4
465,2
466,2
467,4
468,2
469,2
470,4
471,5
472,4
473,5
474,1
475,3
476,4
477,3
478,2
479,2
480,3
481,3
482,4
483,2
484,4
485,3
486,5
487,4
488,2
489,3
490,3
491,2
492,2
493,2
494,4
495,3
496,5
497,3
498,2
499,4
500,3
501,2
502,1
503,3
504,4
505,2
506,1
507,1
508,4
509,3
510,3
511,3
512,4
513,4
514,2
515,3
516,5
517,2
518,4
519,1
520,2
521,2
522,2
523,2
524,3
525,2
526,2
527,2
528,4
529,1
530,2
531,3
532,4
533,3
534,3
535,3
536,3
537,2
538,2
539,2
540,3
541,5
542,2
543,3
544,3
545,4
546,3
547,5
548,2
549,4
550,4
551,3
552,3
553,2
554,4
555,4
556,2
557,3
558,3
559,3
560,5
561,2
562,4
563,3
564,2
565,3
566,2
567,5
568,2
569,2
570,5
571,4
572,4
573,2
574,1
575,3
576,3
577,2
578,2
579,4
580,1
581,4
582,4
583,2
584,5
585,1
586,3
587,2
588,4
589,2
590,2
591,1
592,3
593,4
594,4
595,2
596,2
597,4
598,2
599,1
600,3
601,3
602,2
603,2
604,3
605,2
606,5
607,4
608,2
609,2
610,3
611,2
612,4
613,2
614,4
615,2
616,2
617,4
618,2
619,2
620,2
621,3
622,2
623,2
624,3
625,3
626,2
627,2
628,4
629,3
630,2
631,3
632,1
633,1
634,1
635,3
636,2
637,1
638,1
639,2
640,3
641,2
642,4
643,3
644,2
645,3
646,3
647,3
648,5
649,5
650,1
651,5
652,4
653,4
654,4
655,2
656,5
657,3
658,1
659,3
660,1
661,2
662,5
663,1
664,3
665,4
666,3
667,3
668,3
669,4
670,2
671,2
672,1
673,1
674,3
675,1
676,2
677,3
678,3
679,4
680,2
681,1
682,3
683,3
684,1
685,5
686,1
687,3
688,2
689,4
690,2
691,2
692,2
693,5
694,4
695,4
696,2
697,5
698,2
699,2
700,2
701,2
702,1
703,1
704,3
705,3
706,1
707,1
708,2
709,4
710,1
711,3
712,5
713,2
714,4
715,3
716,2
717,4
718,3
719,4
720,3
721,3
722,1
723,2
724,4
725,2
726,2
727,3
728,4
729,3
730,3
731,1
732,2
733,3
734,5
735,3
736,2
737,2
738,5
739,4
740,2
741,2
742,2
743,2
744,1
745,4
746,2
747,1
748,4
749,4
750,2
751,3
752,3
753,2
754,2
755,4
756,5
757,5
758,2
759,1
760,4
761,4
762,3
763,1
764,4
765,4
766,3
767,5
768,2
769,2
770,5
771,5
772,3
773,3
774,3
775,2
776,4
777,3
778,4
779,3
780,1
781,2
782,3
783,4
784,2
785,1
786,3
787,3
788,2
789,4
790,3
791,1
792,4
793,3
794,2
795,1
796,3
797,3
798,3
799,3
800,2
801,5
802,2
803,5
804,2
805,4
806,2
807,4
808,2
809,4
810,1
811,2
812,3
813,2
814,2
815,2
816,3
817,4
818,2
819,4
820,2
821,1
822,2
823,3
824,4
825,5
826,2
827,3
828,4
829,2
830,4
831,5
832,3
833,1
834,2
835,2
836,1
837,4
838,3
839,4
840,3
841,4
842,2
843,2
844,4
845,1
846,2
847,3
848,3
849,3
850,3
851,1
852,4
853,4
854,1
855,3
856,3
857,4
858,4
859,5
860,2
861,2
862,1
863,4
864,2
865,2
866,4
867,2
868,2
869,4
870,3
871,2
872,3
873,2
874,3
875,3
876,5
877,4
878,2
879,4
880,1
881,2
882,3
883,4
884,3
885,3
886,5
887,3
888,2
889,3
890,2
891,3
892,5
893,2
894,4
895,2
896,3
897,2
898,4
899,4
900,4
901,4
902,4
903,2
904,2
905,3
906,4
907,3
908,4
909,2
910,2
911,2
912,2
913,2
914,3
915,1
916,4
917,3
918,5
919,5
920,1
921,2
922,1
923,1
924,2
925,2
926,4
927,4
928,4
929,2
930,4
931,2
932,4
933,2
934,2
935,1
936,2
937,1
938,1
939,3
940,5
941,1
942,3
943,2
944,5
945,3
946,2
947,3
948,1
949,2
950,3
951,2
952,2
953,2
954,3
955,2
956,1
957,3
958,2
959,2
960,3
961,4
