,0
0,2
1,5
2,3
3,4
4,4
5,1
6,3
7,3
8,3
9,5
10,2
11,4
12,2
13,2
14,4
15,1
16,3
17,3
18,3
19,2
20,5
21,4
22,3
23,5
24,2
25,1
26,3
27,2
28,3
29,4
30,1
31,1
32,5
33,1
34,3
35,2
36,2
37,4
38,3
39,2
40,2
41,1
42,2
43,2
44,2
45,3
46,3
47,3
48,4
49,3
50,3
51,4
52,3
53,3
54,4
55,3
56,3
57,1
58,5
59,4
60,2
61,2
62,2
63,3
64,3
65,1
66,3
67,3
68,3
69,2
70,2
71,2
72,3
73,2
74,3
75,1
76,4
77,2
78,3
79,2
80,3
81,1
82,3
83,5
84,2
85,3
86,2
87,2
88,3
89,3
90,2
91,4
92,5
93,3
94,3
95,1
96,1
97,2
98,5
99,1
100,2
101,3
102,3
103,5
104,2
105,4
106,3
107,3
108,5
109,3
110,3
111,2
112,3
113,3
114,5
115,3
116,2
117,5
118,4
119,4
120,3
121,1
122,3
123,3
124,3
125,3
126,4
127,3
128,4
129,2
130,2
131,2
132,5
133,3
134,3
135,5
136,3
137,3
138,2
139,1
140,4
141,3
142,3
143,1
144,3
145,2
146,3
147,3
148,4
149,3
150,3
151,5
152,3
153,3
154,2
155,4
156,3
157,3
158,2
159,3
160,2
161,3
162,5
163,2
164,3
165,2
166,4
167,3
168,2
169,2
170,4
171,3
172,3
173,3
174,3
175,3
176,4
177,4
178,2
179,2
180,5
181,3
182,2
183,2
184,4
185,5
186,3
187,2
188,5
189,4
190,5
191,3
192,3
193,3
194,2
195,5
196,3
197,4
198,3
199,3
200,3
201,1
202,4
203,2
204,2
205,2
206,2
207,3
208,3
209,2
210,3
211,3
212,3
213,3
214,1
215,3
216,3
217,5
218,2
219,4
220,1
221,3
222,1
223,5
224,4
225,2
226,2
227,2
228,3
229,4
230,2
231,2
232,1
233,3
234,3
235,3
236,5
237,1
238,5
239,1
240,2
241,1
242,4
243,4
244,4
245,4
246,5
247,5
248,2
249,3
250,5
251,5
252,3
253,1
254,4
255,3
256,1
257,4
258,2
259,2
260,3
261,2
262,1
263,3
264,2
265,3
266,3
267,4
268,5
269,3
270,5
271,2
272,2
273,3
274,1
275,5
276,4
277,2
278,3
279,3
280,3
281,1
282,2
283,2
284,2
285,3
286,2
287,2
288,3
289,2
290,1
291,4
292,5
293,1
294,5
295,2
296,3
297,2
298,2
299,4
300,3
301,2
302,4
303,5
304,3
