,0
0,1
1,4
2,1
3,3
4,3
5,2
6,1
7,1
8,2
9,5
10,2
11,3
12,3
13,2
14,4
15,1
16,2
17,2
18,3
19,2
20,5
21,3
22,2
23,4
24,1
25,1
26,3
27,2
28,2
29,5
30,1
31,2
32,2
33,1
34,3
35,3
36,2
37,3
38,2
39,1
40,2
41,1
42,2
43,2
44,2
45,3
46,1
47,3
48,2
49,1
50,3
51,4
52,3
53,2
54,4
55,2
56,1
57,1
58,4
59,3
60,2
61,3
62,2
63,2
64,3
65,1
66,2
67,3
68,3
69,2
70,1
71,2
72,3
73,1
74,2
75,1
76,2
77,1
78,3
79,2
80,2
81,1
82,2
83,4
84,2
85,3
86,2
87,2
88,3
89,4
90,1
91,2
92,5
93,1
94,1
95,2
96,1
97,3
98,5
99,1
100,2
101,2
102,3
103,5
104,2
105,4
106,3
107,2
108,4
109,3
110,3
111,1
112,4
113,3
114,2
115,3
116,1
117,4
118,5
119,2
120,2
121,1
122,3
123,1
124,3
125,4
126,3
127,2
128,4
129,2
130,1
131,1
132,4
133,2
134,3
135,4
136,2
137,3
138,2
139,1
140,3
141,3
142,3
143,1
144,1
145,3
146,3
147,2
148,3
149,1
150,2
151,4
152,3
153,2
154,2
155,2
156,3
157,4
158,2
159,3
160,2
161,3
162,4
163,1
164,2
165,3
166,4
167,2
168,2
169,1
170,3
171,2
172,3
173,1
174,3
175,3
176,3
177,4
178,2
179,2
180,4
181,2
182,1
183,3
184,3
185,4
186,3
187,2
188,3
189,4
190,4
191,1
192,1
193,4
194,4
195,4
196,3
197,3
198,4
199,3
200,2
201,1
202,3
203,2
204,2
205,1
206,1
207,3
208,2
209,3
210,2
211,2
212,2
213,2
214,2
215,3
216,1
217,4
218,2
219,5
220,3
221,3
222,1
223,4
224,2
225,1
226,2
227,1
228,4
229,4
230,1
231,1
232,1
233,4
234,1
235,3
236,5
237,2
238,5
239,1
240,2
241,1
242,3
243,3
244,4
245,4
246,5
247,5
248,3
249,3
250,5
251,3
252,3
253,1
254,5
255,2
256,1
257,3
258,2
259,3
260,2
261,2
262,2
263,2
264,2
265,2
266,2
267,4
268,4
269,2
270,2
271,2
272,2
273,2
274,1
275,5
276,4
277,2
278,2
279,3
280,1
281,2
282,2
283,2
284,3
285,1
286,4
287,1
288,3
289,1
290,1
291,4
292,5
293,1
294,4
295,3
296,2
297,2
298,2
299,4
300,4
301,2
302,3
303,5
304,2
305,3
306,2
307,5
308,3
309,2
310,4
311,3
312,2
313,3
314,1
315,5
316,2
317,2
318,3
319,2
320,3
321,2
322,5
323,4
324,3
325,1
326,3
327,3
328,1
329,3
330,2
331,3
332,2
333,3
334,3
335,3
336,1
337,2
338,1
339,3
340,3
341,1
342,1
343,1
344,3
345,3
346,4
347,3
348,4
