,0
0,2
1,3
2,5
3,5
4,5
5,1
6,2
7,2
8,2
9,5
10,1
11,5
12,5
13,4
14,5
15,5
16,1
17,1
18,4
19,1
20,5
21,5
22,4
23,5
24,3
25,3
26,3
27,1
28,5
29,5
30,4
31,5
32,5
33,1
34,3
35,5
36,1
37,4
38,2
39,2
40,1
41,1
42,4
43,1
44,3
45,4
46,5
47,3
48,3
49,5
50,2
51,5
52,4
53,3
54,5
55,5
56,3
57,1
58,3
59,5
60,5
61,2
62,2
63,5
64,4
65,1
66,5
67,5
68,5
69,3
70,3
71,1
72,1
73,1
74,1
75,5
76,5
77,5
78,5
79,5
80,3
81,4
82,5
83,5
84,4
85,3
86,5
87,1
88,3
89,3
90,5
91,5
92,3
93,3
94,5
95,1
96,5
97,1
98,5
99,1
100,5
101,2
102,4
103,5
104,2
105,4
106,3
107,3
108,5
109,4
110,4
111,4
112,5
113,4
114,5
115,4
116,4
117,5
118,5
119,3
120,5
121,1
122,5
123,3
124,3
125,3
126,3
127,5
128,4
129,3
130,3
131,1
132,1
133,3
134,4
135,5
136,5
137,5
138,1
139,1
140,4
141,5
142,5
143,1
144,1
145,5
146,4
147,5
148,3
149,5
150,3
151,4
152,4
153,3
154,4
155,5
156,3
157,1
158,4
159,5
160,1
161,5
162,5
163,2
164,5
165,3
166,4
167,5
168,2
169,1
170,3
171,2
172,1
173,5
174,5
175,5
176,5
177,5
178,2
179,1
180,5
181,3
182,4
183,5
184,3
185,5
186,3
187,2
188,1
189,4
190,5
191,1
192,5
193,5
194,5
195,3
196,2
197,5
198,3
199,4
200,5
201,2
202,5
203,3
204,3
205,4
206,3
207,2
208,5
209,3
210,5
211,2
212,2
213,3
214,4
215,5
216,1
217,1
218,1
219,5
220,4
221,3
222,2
223,5
224,3
225,5
226,4
227,3
228,2
229,5
230,4
231,1
232,5
233,3
234,3
235,5
236,5
237,1
238,4
239,2
240,4
241,4
242,5
243,4
244,5
245,5
246,5
247,5
248,3
249,5
250,5
251,5
252,3
253,2
254,1
255,4
256,1
257,5
258,5
259,5
260,2
261,3
262,5
263,3
264,3
265,3
266,5
267,3
268,5
269,2
270,5
271,5
272,4
273,5
274,1
275,5
276,4
277,5
278,4
279,3
280,3
281,2
282,5
283,5
284,1
285,1
286,4
287,4
288,4
289,3
290,5
291,2
292,5
293,4
294,3
295,1
296,5
297,5
298,1
299,4
300,4
301,4
302,5
303,5
304,1
305,3
306,4
307,5
308,3
309,3
310,5
311,5
312,4
313,4
314,3
315,5
316,2
317,3
318,3
319,5
320,3
321,5
322,5
323,5
324,3
325,4
326,5
327,2
328,2
329,5
330,5
331,5
332,5
333,4
334,3
335,1
336,4
337,5
338,1
339,5
340,5
341,4
342,1
343,1
344,5
345,1
346,3
347,1
348,4
349,5
350,5
351,5
352,5
353,5
354,4
355,3
356,5
357,3
358,3
359,3
360,3
361,5
362,5
363,2
364,5
365,1
366,4
367,1
368,1
369,3
370,1
371,5
372,5
373,3
374,5
375,4
376,2
377,4
378,4
379,3
380,5
381,5
382,1
383,3
384,1
385,4
386,3
387,1
388,5
389,1
390,1
391,5
392,5
393,4
394,1
395,5
396,1
397,4
398,4
399,5
400,4
401,1
402,5
403,1
404,5
405,5
406,5
407,3
408,1
409,4
410,3
411,5
412,3
413,5
414,4
415,5
416,1
417,5
418,1
419,5
420,4
421,5
422,2
423,4
424,4
425,1
426,4
427,3
428,4
429,5
430,5
431,2
432,3
433,1
434,3
435,4
436,5
437,1
438,4
439,2
440,5
441,5
442,1
443,5
444,5
445,5
446,5
447,4
448,5
449,5
450,3
451,1
452,4
453,3
454,3
455,5
456,4
457,1
458,4
459,1
460,1
461,5
462,4
463,5
464,5
465,4
466,1
467,5
468,4
469,1
470,4
471,5
472,5
473,4
474,1
475,5
476,5
477,2
478,1
479,1
480,3
481,5
482,5
483,1
484,1
485,4
486,5
487,4
488,2
489,4
490,5
491,5
492,3
493,1
494,4
495,3
496,1
497,3
498,1
499,5
500,4
501,2
502,5
503,3
504,5
505,5
506,2
507,4
508,3
509,3
510,4
511,3
512,4
513,5
514,4
515,5
516,5
517,4
518,4
519,5
520,1
521,3
522,4
523,1
524,5
525,1
526,4
527,4
528,3
529,3
530,1
531,1
532,4
533,1
534,3
535,3
536,5
537,1
538,3
539,4
540,4
541,5
542,5
543,5
544,1
545,1
546,5
547,5
548,2
549,4
550,5
551,5
552,3
553,4
554,5
555,5
556,4
557,5
558,3
559,3
560,5
561,4
562,5
563,3
564,3
565,4
566,1
567,5
568,5
569,3
570,1
571,3
572,4
573,4
574,1
575,4
576,2
577,4
578,5
579,5
580,1
581,5
582,1
583,2
